%
% Comments go after a '%' sign.
%
%
% Relation: Dreams
%
%
% Attributes: 12     Instances: 16800
%
%

@relation Dreams

@attribute '0' numeric
@attribute 'Gender' numeric
@attribute 'Male' numeric
@attribute 'Animal' numeric
@attribute 'Friends' numeric
@attribute 'Family' numeric
@attribute 'Dead&Imaginary' numeric
@attribute 'Aggression/Friendliness' numeric
@attribute 'A/CIndex' numeric
@attribute 'F/CIndex' numeric
@attribute 'S/CIndex' numeric
@attribute 'NegativeEmotions' numeric

@data
15345,1.0,0.5,0.0,0.166666667,0.25,0.0,0.833333333,0.0416666667,0.007575757545454545,0.010416666625,0.0
8476,0.0,0.75,0.055555556,0.117647059,0.176470588,0.0,0.5,0.022222222200000002,0.015151515181818181,0.013888888875,1.0
9052,1.0,0.0,0.0,0.25,0.0,0.0,0.5,0.05,0.045454545454545456,0.0,1.0
17206,0.0,0.333333333,0.0,0.176470588,0.235294118,0.0,0.0,0.0,0.0,0.0,0.0
16188,1.0,0.25,0.0,0.142857143,0.0,0.0,1.0,0.0857142857,0.012987013,0.017857142875,1.0
4475,1.0,1.0,0.0,0.25,0.0,0.0,1.0,0.15000000000000002,0.0,0.0,0.0
11744,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.25,1.0
6056,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3755,1.0,0.0,0.0,0.0,0.2,0.0,0.142857143,0.04000000000000001,0.12727272727272726,0.125,0.0
15650,1.0,0.6,0.166666667,0.2,0.3,0.0,0.625,0.0666666667,0.022727272727272728,0.0,1.0
7712,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0666666667,0.06060606063636364,0.0,0.0
17702,1.0,1.0,0.0,0.25,0.0,0.0,0.666666667,0.05,0.022727272727272728,0.0,0.0
4336,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0
4021,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.09090909090909091,0.0,0.5
12637,1.0,0.5,0.0,0.0,0.333333333,0.0,0.0,0.0166666667,0.045454545454545456,0.020833333375,0.0
6887,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166666667,0.06060606063636364,0.020833333375,0.0
2966,1.0,0.571428571,0.071428571,0.153846154,0.384615385,0.0,0.588235294,0.1071428571,0.045454545454545456,0.0,0.833333333
14893,0.0,0.0,0.0,0.111111111,0.111111111,0.0,1.0,0.0666666667,0.010101010090909092,0.013888888875,1.0
18148,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.03125,0.0
12363,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.125,1.0
11890,1.0,0.5,0.0,0.142857143,0.0,0.0,0.5,0.0142857143,0.025974026,0.071428571375,0.0
1303,1.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.1,0.2727272727272727,0.125,1.0
19934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0
8066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.045454545454545456,0.0,0.0
20335,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,0.0
1373,1.0,0.333333333,0.125,0.142857143,0.428571429,0.0,0.0,0.0,0.03409090909090909,0.03125,0.0
8574,1.0,0.333333333,0.0,0.333333333,0.111111111,0.0,0.0,0.011111111100000001,0.030303030272727273,0.013888888875,0.5
12577,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.025,0.045454545454545456,0.0,0.0
7946,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606063636364,0.083333333375,0.5
1135,1.0,0.666666667,0.0,0.166666667,0.5,0.0,0.0,0.0,0.0,0.0,1.0
5048,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,1.0,0.5,0.0,0.285714286,0.0,0.0,1.0,0.042857142900000006,0.0,0.0,0.0
9926,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.09090909090909091,0.0,0.0
6290,1.0,0.5,0.0,0.125,0.0625,0.0,0.0,0.0,0.017045454545454544,0.0,1.0
17597,1.0,0.333333333,0.166666667,0.2,0.2,0.0,1.0,0.033333333300000004,0.0,0.0,0.0
339,1.0,1.0,0.111111111,0.25,0.125,0.0,0.333333333,0.0555555556,0.08080808081818182,0.013888888875,0.666666667
7085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14739,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.020000000000000004,0.018181818181818184,0.0,0.0
12572,1.0,0.333333333,0.0,0.0,0.0,0.0,0.333333333,0.0125,0.06818181818181818,0.03125,1.0
7811,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.03636363636363637,0.0,0.0
3314,1.0,0.666666667,0.0,0.0,0.333333333,0.0,0.0,0.0,0.030303030272727273,0.0,0.0
8203,1.0,0.8,0.066666667,0.142857143,0.142857143,0.0,0.0,0.0,0.0,0.008333333375,0.0
12634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.125,0.0
10347,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,1.0
5306,0.0,0.5,0.0,0.090909091,0.181818182,0.0,1.0,0.1,0.008264462818181818,0.02272727275,1.0
17910,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3649,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
10841,1.0,0.583333333,0.02173913,0.088888889,0.066666667,0.0,0.5,0.008695652199999999,0.005928853727272728,0.01086956525,0.0
2973,1.0,0.333333333,0.083333333,0.090909091,0.181818182,0.0,0.0,0.0,0.0,0.0,1.0
16101,1.0,0.25,0.125,0.0,0.285714286,0.0,0.666666667,0.08750000000000001,0.022727272727272728,0.015625,0.0
2959,1.0,0.666666667,0.142857143,0.111111111,0.111111111,0.0,0.333333333,0.0285714286,0.07792207790909092,0.047619047625,0.8
12715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363637,0.0,0.0
129,1.0,0.333333333,0.0,0.090909091,0.0,0.0,0.666666667,0.0363636364,0.024793388454545453,0.0,0.666666667
10714,1.0,0.0,0.0,0.0,0.0,0.0,0.833333333,0.6000000000000001,0.09090909090909091,0.0,1.0
401,1.0,0.0,0.0,0.5,0.0,0.0,0.875,0.55,0.045454545454545456,0.0625,1.0
17125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17712,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16742,0.0,0.222222222,0.0,0.090909091,0.090909091,0.0,0.428571429,0.0727272727,0.07851239672727273,0.08522727275,0.6
5412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7681,1.0,0.666666667,0.0,0.2,0.2,0.0,0.0,0.0,0.018181818181818184,0.0,0.0
8054,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0
19193,0.0,0.2,0.125,0.0,0.142857143,0.0,0.5,0.018750000000000003,0.005681818181818182,0.0,0.0
18124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20246,0.0,0.0,0.0,0.0,0.166666667,0.0,0.75,0.0666666667,0.015151515181818181,0.0,1.0
